SLNO,NAME,CODE,YCODE
431,Expleo Solutions Limited,EXPLEOSOL,EXPLEOSOL.NS
432,Fertilizers and Chemicals Travancore Limited,FACT,FACT.NS
433,Fairchem Speciality Limited,FAIRCHEM,FAIRCHEM.NS
434,Fineotex Chemical Limited,FCL,FCL.NS
435,Future Consumer Limited,FCONSUMER,FCONSUMER.NS
436,FCS Software Solutions Limited,FCSSOFT,FCSSOFT.NS
437,FDC Limited,FDC,FDC.NS
438,The Federal Bank  Limited,FEDERALBNK,FEDERALBNK.NS
439,Future Enterprises Limited,FEL,FEL.NS
440,Future Enterprises Limited,FELDVR,FELDVR.NS
441,Fiem Industries Limited,FIEMIND,FIEMIND.NS
442,Filatex India Limited,FILATEX,FILATEX.NS
443,Finolex Cables Limited,FINCABLES,FINCABLES.NS
444,Fine Organic Industries Limited,FINEORG,FINEORG.NS
445,Finolex Industries Limited,FINPIPE,FINPIPE.NS
446,Flexituff Ventures International Limited,FLEXITUFF,FLEXITUFF.NS
447,Future Lifestyle Fashions Limited,FLFL,FLFL.NS
448,Gujarat Fluorochemicals Limited,FLUOROCHEM,FLUOROCHEM.NS
449,Federal-Mogul Goetze (India) Limited.,FMGOETZE,FMGOETZE.NS
450,Future Market Networks Limited,FMNL,FMNL.NS
451,FORCE MOTORS LTD,FORCEMOT,FORCEMOT.NS
452,Fortis Healthcare Limited,FORTIS,FORTIS.NS
453,Foseco India Limited,FOSECOIND,FOSECOIND.NS
454,Future Retail Limited,FRETAIL,FRETAIL.NS
455,Future Supply Chain Solutions Limited,FSC,FSC.NS
456,Firstsource Solutions Limited,FSL,FSL.NS
457,Gabriel India Limited,GABRIEL,GABRIEL.NS
458,Gujarat Ambuja Exports Limited,GAEL,GAEL.NS
459,GAIL (India) Limited,GAIL,GAIL.NS
460,Gyscoal Alloys Limited,GAL,GAL.NS
461,Galaxy Surfactants Limited,GALAXYSURF,GALAXYSURF.NS
462,Gallantt Metal Limited,GALLANTT,GALLANTT.NS
463,Gallantt Ispat Limited,GALLISPAT,GALLISPAT.NS
464,Gammon Infrastructure Projects Limited,GAMMNINFRA,GAMMNINFRA.NS
465,Gandhi Special Tubes Limited,GANDHITUBE,GANDHITUBE.NS
466,Ganesha Ecosphere Limited,GANECOS,GANECOS.NS
467,Ganesh Housing Corporation Limited,GANESHHOUC,GANESHHOUC.NS
468,Ganges Securities Limited,GANGESSECU,GANGESSECU.NS
469,Gangotri Textiles Limited,GANGOTRI,GANGOTRI.NS
470,Garden Silk Mills Limited,GARDENSILK,GARDENSILK.NS
471,Garware Technical Fibres Limited,GARFIBRES,GARFIBRES.NS
472,GATI Limited,GATI,GATI.NS
473,Gayatri Highways Limited,GAYAHWS,GAYAHWS.NS
474,Gayatri Projects Limited,GAYAPROJ,GAYAPROJ.NS
475,Gateway Distriparks Limited,GDL,GDL.NS
476,GeeCee Ventures Limited,GEECEE,GEECEE.NS
477,Genesys International Corporation Limited,GENESYS,GENESYS.NS
478,Genus Paper & Boards Limited,GENUSPAPER,GENUSPAPER.NS
479,Genus Power Infrastructures Limited,GENUSPOWER,GENUSPOWER.NS
480,Geojit Financial Services Limited,GEOJITFSL,GEOJITFSL.NS
481,GE Power India Limited,GEPIL,GEPIL.NS
482,The Great Eastern Shipping Company Limited,GESHIP,GESHIP.NS
483,GE T&D India Limited,GET&D,GET&D.NS
484,GFL Limited,GFLLIMITED,GFLLIMITED.NS
485,GHCL Limited,GHCL,GHCL.NS
486,GIC Housing Finance Limited,GICHSGFIN,GICHSGFIN.NS
487,General Insurance Corporation of India,GICRE,GICRE.NS
488,Gillanders Arbuthnot & Company Limited,GILLANDERS,GILLANDERS.NS
489,Gillette India Limited,GILLETTE,GILLETTE.NS
490,Ginni Filaments Limited,GINNIFILA,GINNIFILA.NS
491,Gujarat Industries Power Company Limited,GIPCL,GIPCL.NS
492,GI Engineering Solutions Limited,GISOLUTION,GISOLUTION.NS
493,GKW Limited,GKWLIMITED,GKWLIMITED.NS
494,GlaxoSmithKline Pharmaceuticals Limited,GLAXO,GLAXO.NS
495,Glenmark Pharmaceuticals Limited,GLENMARK,GLENMARK.NS
496,Gujarat Lease Financing Limited,GLFL,GLFL.NS
497,Global Vectra Helicorp Limited,GLOBALVECT,GLOBALVECT.NS
498,Global Offshore Services Limited,GLOBOFFS,GLOBOFFS.NS
499,Globus Spirits Limited,GLOBUSSPR,GLOBUSSPR.NS
500,GM Breweries Limited,GMBREW,GMBREW.NS
501,Gujarat Mineral Development Corporation Limited,GMDCLTD,GMDCLTD.NS
502,GMM Pfaudler Limited,GMMPFAUDLR,GMMPFAUDLR.NS
503,GMR Infrastructure Limited,GMRINFRA,GMRINFRA.NS
504,GNA Axles Limited,GNA,GNA.NS
505,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,GNFC.NS
506,Goa Carbon Limited,GOACARBON,GOACARBON.NS
507,GOCL Corporation Limited,GOCLCORP,GOCLCORP.NS
508,Godfrey Phillips India Limited,GODFRYPHLP,GODFRYPHLP.NS
509,Godrej Agrovet Limited,GODREJAGRO,GODREJAGRO.NS
510,Godrej Consumer Products Limited,GODREJCP,GODREJCP.NS
511,Godrej Industries Limited,GODREJIND,GODREJIND.NS
512,Godrej Properties Limited,GODREJPROP,GODREJPROP.NS
513,Goenka Diamond and Jewels Limited,GOENKA,GOENKA.NS
514,Gokaldas Exports Limited,GOKEX,GOKEX.NS
515,Gokul Refoils and Solvent Limited,GOKUL,GOKUL.NS
516,Gokul Agro Resources Limited,GOKULAGRO,GOKULAGRO.NS
517,Golden Tobacco Limited,GOLDENTOBC,GOLDENTOBC.NS
518,Goldiam International Limited,GOLDIAM,GOLDIAM.NS
519,Goldstone Technologies Limited,GOLDTECH,GOLDTECH.NS
520,Goodluck India Limited,GOODLUCK,GOODLUCK.NS
521,Godawari Power And Ispat limited,GPIL,GPIL.NS
522,Gujarat Pipavav Port Limited,GPPL,GPPL.NS
523,GPT Infraprojects Limited,GPTINFRA,GPTINFRA.NS
524,Granules India Limited,GRANULES,GRANULES.NS
525,Graphite India Limited,GRAPHITE,GRAPHITE.NS
526,Grasim Industries Limited,GRASIM,GRASIM.NS
527,Gravita India Limited,GRAVITA,GRAVITA.NS
528,Greaves Cotton Limited,GREAVESCOT,GREAVESCOT.NS
529,Greenlam Industries Limited,GREENLAM,GREENLAM.NS
530,Greenpanel Industries Limited,GREENPANEL,GREENPANEL.NS
531,Greenply Industries Limited,GREENPLY,GREENPLY.NS
532,Orient Green Power Company Limited,GREENPOWER,GREENPOWER.NS
533,Grindwell Norton Limited,GRINDWELL,GRINDWELL.NS
534,The Grob Tea Company Limited,GROBTEA,GROBTEA.NS
535,GRP Limited,GRPLTD,GRPLTD.NS
536,Garden Reach Shipbuilders & Engineers Limited,GRSE,GRSE.NS
537,Gujarat Sidhee Cement Limited,GSCLCEMENT,GSCLCEMENT.NS
538,Gujarat State Fertilizers & Chemicals Limited,GSFC,GSFC.NS
539,GlaxoSmithKline Consumer Healthcare Limited,GSKCONS,GSKCONS.NS
540,Gujarat State Petronet Limited,GSPL,GSPL.NS
541,GSS Infotech Limited,GSS,GSS.NS
542,GTL Limited,GTL,GTL.NS
543,GTL Infrastructure Limited,GTLINFRA,GTLINFRA.NS
544,GTN Industries Limited,GTNIND,GTNIND.NS
545,GTN Textiles Limited,GTNTEX,GTNTEX.NS
546,GTPL Hathway Limited,GTPL,GTPL.NS
547,Gufic Biosciences Limited,GUFICBIO,GUFICBIO.NS
548,Gujarat Alkalies and Chemicals Limited,GUJALKALI,GUJALKALI.NS
549,Gujarat Apollo Industries Limited,GUJAPOLLO,GUJAPOLLO.NS
550,Gujarat Gas Limited,GUJGASLTD,GUJGASLTD.NS
551,Gujarat Raffia Industries Limited,GUJRAFFIA,GUJRAFFIA.NS
552,Gulf Oil Lubricants India Limited,GULFOILLUB,GULFOILLUB.NS
553,GP Petroleums Limited,GULFPETRO,GULFPETRO.NS
554,Gulshan Polyols Limited,GULPOLY,GULPOLY.NS
555,GVK Power & Infrastructure Limited,GVKPIL,GVKPIL.NS
556,Hindustan Aeronautics Limited,HAL,HAL.NS
557,Harita Seating Systems Limited,HARITASEAT,HARITASEAT.NS
558,Harrisons  Malayalam Limited,HARRMALAYA,HARRMALAYA.NS
559,Hathway Cable & Datacom Limited,HATHWAY,HATHWAY.NS
560,Hatsun Agro Product Limited,HATSUN,HATSUN.NS
561,Havells India Limited,HAVELLS,HAVELLS.NS
562,Sri Havisha Hospitality and Infrastructure Limited,HAVISHA,HAVISHA.NS
563,HBL Power Systems Limited,HBLPOWER,HBLPOWER.NS
564,HB Stockholdings Limited,HBSL,HBSL.NS
565,Hindustan Construction Company Limited,HCC,HCC.NS
566,Healthcare Global Enterprises Limited,HCG,HCG.NS
567,HCL Infosystems Limited,HCL-INSYS,HCL-INSYS.NS
568,HCL Technologies Limited,HCLTECH,HCLTECH.NS
569,Housing Development Finance Corporation Limited,HDFC,HDFC.NS
570,HDFC Asset Management Company Limited,HDFCAMC,HDFCAMC.NS
571,HDFC Bank Limited,HDFCBANK,HDFCBANK.NS
572,HDFC Life Insurance Company Limited,HDFCLIFE,HDFCLIFE.NS
573,Housing Development and Infrastructure Limited,HDIL,HDIL.NS
574,HEG Limited,HEG,HEG.NS
575,HeidelbergCement India Limited,HEIDELBERG,HEIDELBERG.NS
576,Hercules Hoists Limited,HERCULES,HERCULES.NS
577,Heritage Foods Limited,HERITGFOOD,HERITGFOOD.NS
578,Hero MotoCorp Limited,HEROMOTOCO,HEROMOTOCO.NS
579,Hester Biosciences Limited,HESTERBIO,HESTERBIO.NS
580,Hexa Tradex Limited,HEXATRADEX,HEXATRADEX.NS
581,Hexaware Technologies Limited,HEXAWARE,HEXAWARE.NS
582,HFCL Limited,HFCL,HFCL.NS
583,H.G. Infra Engineering Limited,HGINFRA,HGINFRA.NS
584,Hinduja Global Solutions Limited,HGS,HGS.NS
585,Hikal Limited,HIKAL,HIKAL.NS
586,HIL Limited,HIL,HIL.NS
587,Hilton Metal Forging Limited,HILTON,HILTON.NS
588,Himatsingka Seide Limited,HIMATSEIDE,HIMATSEIDE.NS
589,Hindalco Industries Limited,HINDALCO,HINDALCO.NS
590,Hindustan Composites Limited,HINDCOMPOS,HINDCOMPOS.NS
591,Hindustan Copper Limited,HINDCOPPER,HINDCOPPER.NS
592,Hindustan Motors Limited,HINDMOTORS,HINDMOTORS.NS
593,Hindusthan National Glass & Industries Limited,HINDNATGLS,HINDNATGLS.NS
594,Hindustan Oil Exploration Company Limited,HINDOILEXP,HINDOILEXP.NS
595,Hindustan Petroleum Corporation Limited,HINDPETRO,HINDPETRO.NS
596,Hind Syntex Limited,HINDSYNTEX,HINDSYNTEX.NS
597,Hindustan Unilever Limited,HINDUNILVR,HINDUNILVR.NS
598,Hindustan Zinc Limited,HINDZINC,HINDZINC.NS
599,Hind Rectifiers Limited,HIRECT,HIRECT.NS
600,Hisar Metal Industries Limited,HISARMETAL,HISARMETAL.NS
601,Hi-Tech Pipes Limited,HITECH,HITECH.NS
602,Hitech Corporation Limited,HITECHCORP,HITECHCORP.NS
603,The Hi-Tech Gears Limited,HITECHGEAR,HITECHGEAR.NS
604,HMT Limited,HMT,HMT.NS
605,Hindustan Media Ventures Limited,HMVL,HMVL.NS
606,Hindustan Foods Limited,HNDFDS,HNDFDS.NS
607,Honeywell Automation India Limited,HONAUT,HONAUT.NS
608,Honda Siel Power Products Limited,HONDAPOWER,HONDAPOWER.NS
609,Hotel Leela Venture Limited,HOTELEELA,HOTELEELA.NS
610,Hotel Rugby Limited,HOTELRUGBY,HOTELRUGBY.NS
611,HOV Services Limited,HOVS,HOVS.NS
612,HPL Electric & Power Limited,HPL,HPL.NS
613,Himadri Speciality Chemical Limited,HSCL,HSCL.NS
614,HSIL Limited,HSIL,HSIL.NS
615,HT Media Limited,HTMEDIA,HTMEDIA.NS
616,Hubtown Limited,HUBTOWN,HUBTOWN.NS
617,Housing & Urban Development Corporation Limited,HUDCO,HUDCO.NS
618,Indiabulls Real Estate Limited,IBREALEST,IBREALEST.NS
619,Indiabulls Housing Finance Limited,IBULHSGFIN,IBULHSGFIN.NS
620,Indiabulls Integrated Services Limited,IBULISL,IBULISL.NS
621,Indiabulls Ventures Limited,IBVENTURES,IBVENTURES.NS
622,ICICI Bank Limited,ICICIBANK,ICICIBANK.NS
623,ICICI Lombard General Insurance Company Limited,ICICIGI,ICICIGI.NS
624,ICICI Prudential Life Insurance Company Limited,ICICIPRULI,ICICIPRULI.NS
625,Indo Count Industries Limited,ICIL,ICIL.NS
626,ICRA Limited,ICRA,ICRA.NS
627,IDBI Bank Limited,IDBI,IDBI.NS
628,Vodafone Idea Limited,IDEA,IDEA.NS
629,IDFC Limited,IDFC,IDFC.NS
630,IDFC First Bank Limited,IDFCFIRSTB,IDFCFIRSTB.NS
631,Indian Energy Exchange Limited,IEX,IEX.NS
632,IFB Agro Industries Limited,IFBAGRO,IFBAGRO.NS
633,IFB Industries Limited,IFBIND,IFBIND.NS
634,IFCI Limited,IFCI,IFCI.NS
635,IFGL Refractories Limited,IFGLEXPOR,IFGLEXPOR.NS
636,Igarashi Motors India Limited,IGARASHI,IGARASHI.NS
637,Indraprastha Gas Limited,IGL,IGL.NS
638,IG Petrochemicals Limited,IGPL,IGPL.NS
639,IIFL Finance Limited,IIFL,IIFL.NS
640,IIFL Securities Limited,IIFLSEC,IIFLSEC.NS
641,Iifl Wealth Management Limited,IIFLWAM,IIFLWAM.NS
642,Industrial Investment Trust Limited,IITL,IITL.NS
643,IL&FS Engineering and Construction Company Limited,IL&FSENGG,IL&FSENGG.NS
644,IL&FS Transportation Networks Limited,IL&FSTRANS,IL&FSTRANS.NS
645,Indian Metals & Ferro Alloys Limited,IMFA,IMFA.NS
646,India Motor Parts and Accessories Limited,IMPAL,IMPAL.NS
647,Impex Ferro Tech Limited,IMPEXFERRO,IMPEXFERRO.NS
648,Indbank Merchant Banking Services Limited,INDBANK,INDBANK.NS
649,The Indian Hotels Company Limited,INDHOTEL,INDHOTEL.NS
650,The India Cements Limited,INDIACEM,INDIACEM.NS
651,India Glycols Limited,INDIAGLYCO,INDIAGLYCO.NS
652,Indiamart Intermesh Limited,INDIAMART,INDIAMART.NS
653,Indian Bank,INDIANB,INDIANB.NS
654,Indian Card Clothing Company Limited,INDIANCARD,INDIANCARD.NS
655,Indian Hume Pipe Company Limited,INDIANHUME,INDIANHUME.NS
656,InterGlobe Aviation Limited,INDIGO,INDIGO.NS
657,IMP Powers Limited,INDLMETER,INDLMETER.NS
658,India Nippon Electricals Limited,INDNIPPON,INDNIPPON.NS
659,Indoco Remedies Limited,INDOCO,INDOCO.NS
660,Indo Rama Synthetics (India) Limited,INDORAMA,INDORAMA.NS
661,Indosolar Limited,INDOSOLAR,INDOSOLAR.NS
662,IndoStar Capital Finance Limited,INDOSTAR,INDOSTAR.NS
663,Indo Tech Transformers Limited,INDOTECH,INDOTECH.NS
664,Indo Thai Securities Limited,INDOTHAI,INDOTHAI.NS
665,Indowind Energy Limited,INDOWIND,INDOWIND.NS
666,Indraprastha Medical Corporation Limited,INDRAMEDCO,INDRAMEDCO.NS
667,Ind-Swift Laboratories Limited,INDSWFTLAB,INDSWFTLAB.NS
668,Ind-Swift Limited,INDSWFTLTD,INDSWFTLTD.NS
669,Indian Terrain Fashions Limited,INDTERRAIN,INDTERRAIN.NS
670,IndusInd Bank Limited,INDUSINDBK,INDUSINDBK.NS
671,INEOS Styrolution India Limited,INEOSSTYRO,INEOSSTYRO.NS
672,Infibeam Avenues Limited,INFIBEAM,INFIBEAM.NS
673,InfoBeans Technologies Limited,INFOBEAN,INFOBEAN.NS
674,Bharti Infratel Limited,INFRATEL,INFRATEL.NS
675,Infosys Limited,INFY,INFY.NS
676,Ingersoll Rand (India) Limited,INGERRAND,INGERRAND.NS
677,INOX Leisure Limited,INOXLEISUR,INOXLEISUR.NS
678,Inox Wind Limited,INOXWIND,INOXWIND.NS
679,Insecticides (India) Limited,INSECTICID,INSECTICID.NS
680,Inspirisys Solutions Limited,INSPIRISYS,INSPIRISYS.NS
681,Integra Garments and Textiles Limited,INTEGRA,INTEGRA.NS
682,Intellect Design Arena Limited,INTELLECT,INTELLECT.NS
683,Intense Technologies Limited,INTENTECH,INTENTECH.NS
684,Inventure Growth & Securities Limited,INVENTURE,INVENTURE.NS
685,Indian Overseas Bank,IOB,IOB.NS
686,Indian Oil Corporation Limited,IOC,IOC.NS
687,IOL Chemicals and Pharmaceuticals Limited,IOLCP,IOLCP.NS
688,International Paper APPM Limited,IPAPPM,IPAPPM.NS
689,IPCA Laboratories Limited,IPCALAB,IPCALAB.NS
690,IRB Infrastructure Developers Limited,IRB,IRB.NS
691,Ircon International Limited,IRCON,IRCON.NS
692,Indian Railway Catering And Tourism Corporation Limited,IRCTC,IRCTC.NS
693,ICICI Securities Limited,ISEC,ISEC.NS
694,Intrasoft Technologies Limited,ISFT,ISFT.NS
695,ISMT Limited,ISMTLTD,ISMTLTD.NS
696,ITC Limited,ITC,ITC.NS
697,India Tourism Development Corporation Limited,ITDC,ITDC.NS
698,ITD Cementation India Limited,ITDCEM,ITDCEM.NS
699,ITI Limited,ITI,ITI.NS
700,IL&FS Investment Managers Limited,IVC,IVC.NS
701,IVP Limited,IVP,IVP.NS
702,IVRCL Limited,IVRCLINFRA,IVRCLINFRA.NS
703,IZMO Limited,IZMO,IZMO.NS
704,The Jammu & Kashmir Bank Limited,J&KBANK,J&KBANK.NS
705,Jagran Prakashan Limited,JAGRAN,JAGRAN.NS
706,Jagsonpal Pharmaceuticals Limited,JAGSNPHARM,JAGSNPHARM.NS
707,Jai Balaji Industries Limited,JAIBALAJI,JAIBALAJI.NS
708,Jai Corp Limited,JAICORPLTD,JAICORPLTD.NS
709,Jaihind Projects Limited,JAIHINDPRO,JAIHINDPRO.NS
710,Jain Studios Limited,JAINSTUDIO,JAINSTUDIO.NS
711,Jamna Auto Industries Limited,JAMNAAUTO,JAMNAAUTO.NS
712,Jash Engineering Limited,JASH,JASH.NS
713,Jayant Agro Organics Limited,JAYAGROGN,JAYAGROGN.NS
714,Jay Bharat Maruti Limited,JAYBARMARU,JAYBARMARU.NS
715,Jayaswal Neco Industries Limited,JAYNECOIND,JAYNECOIND.NS
716,Jayshree Tea & Industries Limited,JAYSREETEA,JAYSREETEA.NS
717,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,JBCHEPHARM.NS
718,JBF Industries Limited,JBFIND,JBFIND.NS
719,JBM Auto Limited,JBMA,JBMA.NS
720,Johnson Controls   Hitachi Air Conditioning India Limited,JCHAC,JCHAC.NS
721,Jet Airways (India) Limited,JETAIRWAYS,JETAIRWAYS.NS
722,JHS Svendgaard Laboratories Limited,JHS,JHS.NS
723,JIK Industries Limited,JIKIND,JIKIND.NS
724,Jindal Photo Limited,JINDALPHOT,JINDALPHOT.NS
725,Jindal Poly Films Limited,JINDALPOLY,JINDALPOLY.NS
726,Jindal Saw Limited,JINDALSAW,JINDALSAW.NS
727,Jindal Steel & Power Limited,JINDALSTEL,JINDALSTEL.NS
728,Jindal Cotex Limited,JINDCOT,JINDCOT.NS
729,Jindal Drilling And Industries Limited,JINDRILL,JINDRILL.NS
730,Jindal Worldwide Limited,JINDWORLD,JINDWORLD.NS
731,Jain Irrigation Systems Limited,JISLDVREQS,JISLDVREQS.NS
732,Jain Irrigation Systems Limited,JISLJALEQS,JISLJALEQS.NS
733,JITF Infralogistics Limited,JITFINFRA,JITFINFRA.NS
734,Jiya Eco-Products Limited,JIYAECO,JIYAECO.NS
735,JK Cement Limited,JKCEMENT,JKCEMENT.NS
736,J.Kumar Infraprojects Limited,JKIL,JKIL.NS
737,JK Lakshmi Cement Limited,JKLAKSHMI,JKLAKSHMI.NS
738,JK Paper Limited,JKPAPER,JKPAPER.NS
739,JK Tyre & Industries Limited,JKTYRE,JKTYRE.NS
740,Jullundur Motor Agency (Delhi) Limited,JMA,JMA.NS
741,JMC Projects (India)  Limited,JMCPROJECT,JMCPROJECT.NS
742,JM Financial Limited,JMFINANCIL,JMFINANCIL.NS
743,JMT Auto Limited,JMTAUTOLTD,JMTAUTOLTD.NS
744,Jocil Limited,JOCIL,JOCIL.NS
745,Jaiprakash Associates Limited,JPASSOCIAT,JPASSOCIAT.NS
746,Jaypee Infratech Limited,JPINFRATEC,JPINFRATEC.NS
747,Jindal Poly Investment and Finance Company Limited,JPOLYINVST,JPOLYINVST.NS
748,Jaiprakash Power Ventures Limited,JPPOWER,JPPOWER.NS
749,Jindal Stainless Limited,JSL,JSL.NS
750,Jindal Stainless (Hisar) Limited,JSLHISAR,JSLHISAR.NS
751,JSW Energy Limited,JSWENERGY,JSWENERGY.NS
752,JSW Holdings Limited,JSWHL,JSWHL.NS
753,JSW Steel Limited,JSWSTEEL,JSWSTEEL.NS
754,Jtekt India Limited,JTEKTINDIA,JTEKTINDIA.NS
755,Jubilant Life Sciences Limited,JUBILANT,JUBILANT.NS
756,Jubilant Foodworks Limited,JUBLFOOD,JUBLFOOD.NS
757,Jubilant Industries Limited,JUBLINDS,JUBLINDS.NS
758,Jump Networks Limited,JUMPNET,JUMPNET.NS
759,Just Dial Limited,JUSTDIAL,JUSTDIAL.NS
760,JVL Agro Industries Limited,JVLAGRO,JVLAGRO.NS
761,Jyothy Labs Limited,JYOTHYLAB,JYOTHYLAB.NS
762,Kabra Extrusion Technik Limited,KABRAEXTRU,KABRAEXTRU.NS
763,Kajaria Ceramics Limited,KAJARIACER,KAJARIACER.NS
764,Kakatiya Cement Sugar & Industries Limited,KAKATCEM,KAKATCEM.NS
765,Kalpataru Power Transmission Limited,KALPATPOWR,KALPATPOWR.NS
766,Kalyani Commercials Limited,KALYANI,KALYANI.NS
767,Kalyani Forge Limited,KALYANIFRG,KALYANIFRG.NS
768,Kamat Hotels (I) Limited,KAMATHOTEL,KAMATHOTEL.NS
769,Kamdhenu Limited,KAMDHENU,KAMDHENU.NS
770,Kanani Industries Limited,KANANIIND,KANANIIND.NS
771,Kanoria Chemicals & Industries Limited,KANORICHEM,KANORICHEM.NS
772,Kansai Nerolac Paints Limited,KANSAINER,KANSAINER.NS
773,Karda Constructions Limited,KARDA,KARDA.NS
774,Karma Energy Limited,KARMAENG,KARMAENG.NS
775,Karur Vysya Bank Limited,KARURVYSYA,KARURVYSYA.NS
776,Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA,KAUSHALYA.NS
777,Kavveri Telecom Products Limited,KAVVERITEL,KAVVERITEL.NS
778,Kaya Limited,KAYA,KAYA.NS
779,KCP Limited,KCP,KCP.NS
780,KCP Sugar and Industries Corporation Limited,KCPSUGIND,KCPSUGIND.NS
781,KDDL Limited,KDDL,KDDL.NS
782,KEC International Limited,KEC,KEC.NS
783,Kirloskar Electric Company Limited,KECL,KECL.NS
784,KEI Industries Limited,KEI,KEI.NS
785,Kellton Tech Solutions Limited,KELLTONTEC,KELLTONTEC.NS
786,Kennametal India Limited,KENNAMET,KENNAMET.NS
787,Kernex Microsystems (India) Limited,KERNEX,KERNEX.NS
788,Kesar Enterprises Limited,KESARENT,KESARENT.NS
789,Kesoram Industries Limited,KESORAMIND,KESORAMIND.NS
790,Keynote Financial Services Limited,KEYFINSERV,KEYFINSERV.NS
791,Karuturi Global Limited,KGL,KGL.NS
792,Khadim India Limited,KHADIM,KHADIM.NS
793,Khaitan (India) Limited,KHAITANLTD,KHAITANLTD.NS
794,Khandwala Securities Limited,KHANDSE,KHANDSE.NS
795,Kalyani Investment Company Limited,KICL,KICL.NS
796,Kilitch Drugs (India) Limited,KILITCH,KILITCH.NS
797,Kingfa Science & Technology (India) Limited,KINGFA,KINGFA.NS
798,KIOCL Limited,KIOCL,KIOCL.NS
799,Kiri Industries Limited,KIRIINDUS,KIRIINDUS.NS
800,Kirloskar Brothers Limited,KIRLOSBROS,KIRLOSBROS.NS
801,Kirloskar Oil Engines Limited,KIRLOSENG,KIRLOSENG.NS
802,Kirloskar Industries Limited,KIRLOSIND,KIRLOSIND.NS
803,Kitex Garments Limited,KITEX,KITEX.NS
804,Kewal Kiran Clothing Limited,KKCL,KKCL.NS
805,K.M.Sugar Mills Limited,KMSUGAR,KMSUGAR.NS
806,KNR Constructions Limited,KNRCON,KNRCON.NS
807,Kohinoor Foods Limited,KOHINOOR,KOHINOOR.NS
808,Kokuyo Camlin Limited,KOKUYOCMLN,KOKUYOCMLN.NS
809,Kolte   Patil Developers Limited,KOLTEPATIL,KOLTEPATIL.NS
810,Kopran Limited,KOPRAN,KOPRAN.NS
811,Kotak Mahindra Bank Limited,KOTAKBANK,KOTAKBANK.NS
812,Kothari Sugars And Chemicals Limited,KOTARISUG,KOTARISUG.NS
813,Kothari Petrochemicals Limited,KOTHARIPET,KOTHARIPET.NS
814,Kothari Products Limited,KOTHARIPRO,KOTHARIPRO.NS
815,KPIT Technologies Limited,KPITTECH,KPITTECH.NS
816,K.P.R. Mill Limited,KPRMILL,KPRMILL.NS
817,KRBL Limited,KRBL,KRBL.NS
818,Krebs Biochemicals and Industries Limited,KREBSBIO,KREBSBIO.NS
819,Kridhan Infra Limited,KRIDHANINF,KRIDHANINF.NS
820,Krishana Phoschem Limited,KRISHANA,KRISHANA.NS
821,Ksb Limited,KSB,KSB.NS
822,Kaveri Seed Company Limited,KSCL,KSCL.NS
823,KSS Limited,KSERASERA,KSERASERA.NS
824,KSK Energy Ventures Limited,KSK,KSK.NS
825,Kalyani Steels Limited,KSL,KSL.NS
826,Kesar Terminals & Infrastructure Limited,KTIL,KTIL.NS
827,The Karnataka Bank Limited,KTKBANK,KTKBANK.NS
828,Kuantum Papers Limited,KUANTUM,KUANTUM.NS
829,kwality limited,KWALITY,KWALITY.NS
830,L&T Finance Holdings Limited,L&TFH,L&TFH.NS
831,Lakshmi Precision Screws Limited,LAKPRE,LAKPRE.NS
832,Lakshmi Vilas Bank Limited,LAKSHVILAS,LAKSHVILAS.NS
833,Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB.NS
834,Lambodhara Textiles Limited,LAMBODHARA,LAMBODHARA.NS
835,La Opala RG Limited,LAOPALA,LAOPALA.NS
836,Lasa Supergenerics Limited,LASA,LASA.NS
837,Laurus Labs Limited,LAURUSLABS,LAURUSLABS.NS
838,Lakshmi Machine Works Limited,LAXMIMACH,LAXMIMACH.NS
839,Lemon Tree Hotels Limited,LEMONTREE,LEMONTREE.NS
840,Lakshmi Finance & Industrial Corporation Limited,LFIC,LFIC.NS
841,LG Balakrishnan & Bros Limited,LGBBROSLTD,LGBBROSLTD.NS
842,LGB Forge Limited,LGBFORGE,LGBFORGE.NS
843,Libas Designs Limited,LIBAS,LIBAS.NS
844,Libas Designs Limited,LIBAS,LIBAS.NS
845,Liberty Shoes Limited,LIBERTSHOE,LIBERTSHOE.NS
846,LIC Housing Finance Limited,LICHSGFIN,LICHSGFIN.NS
847,Lincoln Pharmaceuticals Limited,LINCOLN,LINCOLN.NS
848,Linc Pen & Plastics Limited,LINCPEN,LINCPEN.NS
849,Linde India Limited,LINDEINDIA,LINDEINDIA.NS
850,Lokesh Machines Limited,LOKESHMACH,LOKESHMACH.NS
851,Lotus Eye Hospital and Institute Limited,LOTUSEYE,LOTUSEYE.NS
852,Lovable Lingerie Limited,LOVABLE,LOVABLE.NS
853,Landmark Property Development Company Limited,LPDC,LPDC.NS
854,Lloyds Steels Industries Limited,LSIL,LSIL.NS
855,Larsen & Toubro Limited,LT,LT.NS
856,Larsen & Toubro Infotech Limited,LTI,LTI.NS
857,L&T Technology Services Limited,LTTS,LTTS.NS
858,Lumax Industries Limited,LUMAXIND,LUMAXIND.NS
859,Lumax Auto Technologies Limited,LUMAXTECH,LUMAXTECH.NS
